	intent	precision
0	flight	0.8920863309352518
1	flight_time	0.005847953216374269
2	airfare	0.6867469879518072
3	aircraft	0.21052631578947367
4	ground_service	0.5625
5	airport	0.046511627906976744
6	airline	0.26785714285714285
7	distance	0.11904761904761904
8	abbreviation	0.7272727272727273
9	ground_fare	0.25
10	quantity	0.0
11	city	0.008880994671403197
12	flight_no	0.06206896551724138
13	capacity	0.3448275862068966
14	meal	0.1875
15	restriction	0.0
16	cheapest	0.0
