, intent, recall
0, flight, 0.9536
1, flight_time, 1.0
2, airfare, 0.9166666666666666
3, aircraft, 1.0
4, ground_service, 0.9722222222222222
5, airport, 1.0
6, airline, 1.0
7, distance, 0.9
8, abbreviation, 0.8461538461538461
9, ground_fare, 0.5714285714285714
10, quantity, 0.0
11, city, 1.0
12, flight_no, 0.8888888888888888
13, capacity, 0.9
14, meal, 1.0
15, restriction, 0.0
16, cheapest, 0.0
