	intent	recall
0	flight	0.9664536741214057
1	flight_time	1.0
2	airfare	0.9344262295081968
3	aircraft	1.0
4	ground_service	1.0
5	airport	0.9230769230769231
6	airline	1.0
7	distance	1.0
8	abbreviation	0.9230769230769231
9	ground_fare	0.3333333333333333
10	quantity	0.0
11	city	1.0
12	flight_no	1.0
13	capacity	0.9523809523809523
14	meal	1.0
15	restriction	0.0
16	cheapest	0.0
